1;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica);Calle Arturo Prat 305;-1;15101
1;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica);Calle Arturo Prat 305;-1;15101
2;PRAIS (S.S Arica);Calle Arturo Prat 305;-1;15101
3;Clínica Dental Móvil Simple. Pat. PW4076 (Arica);Calle Arturo Prat 305;-1;15101
4;Oficina Sanitaria Chacalluta;NULL;-1;15101
5;Hospital Dr. Juan Noé Crevanni (Arica);Calle 18 de Septiembre 1000;582584592;15101
6;Clínica Hebe;Calle San Marcos 431;582251921;15101
7;Clínica San Agustín;Calle 21 de Mayo 720;582231223;15101
8;Clínica San José;Calle Juan Noé 1370;582533496;15101
9;Clínica Arica;Avenida Argentina 2249;582241300;15101
10;Complejo Penitenciario;NULL;582203400;15101
11;Servicio Médico Estudiantil;Calle 18 de Septiembre 2222;582205131;15101
12;Centro Clínico Militar Arica;Avenida Gral. Velasquez 1700;582232478;15101
13;Policlínico del Trabajador AChS Arica;Calle Juan Noé 1367;582231239;15101
14;Instituto de Rehabilitación Infantil TELETÓN (Arica);Avenida Diego Portales 2471;582224703;15101
15;Centro Médico Monte Sinaí;Calle Esmeralda 1319;582250911;15101
16;Clínica Santo Domingo;Calle Campo Verde 2188;582247654;15101
17;Centro Integral de Salud;Calle Vicuña Mackenna 644;582231617;15101
18;Policlínico Institucional de Gendarmería de Chile (Arica);Calle Colón 30;582255825;15101
19;Policlínico del Agricultor;Avenida Manuel Castillo Ibaceta 3431;582229313;15101
20;Centro Odontológico Arisa;Calle Ricardo Silva Arriagada 482;582231249;15101
21;Centro de Salud Mutual CChC Arica;Avenida Argentina 2247;582241237;15101
22;Centro Dental Megasalud SpA;Calle San Marcos 121;582232258;15101
23;Clínica Dr. Héctor Sánchez;Calle 18 de Septiembre 1286;582252498;15101
24;Clínica Mella Arica y Compañía Ltda.;Calle Almirante Latorre 565;582256854;15101
25;Policlínico Médico-Dental de Carabineros;Calle 18 de Septiembre 1672;582244503;15101
26;Laboratorio Clínico San José Ltda.;Calle Juan Noé 1325;582593038;15101
27;Laboratorio Bionet;Calle 18 de Septiembre 1375;582230097;15101
28;Laboratorio Clínico y Hematológico Diagnotest;Calle Arturo Gallo 455;582251055;15101
29;Laboratorio Clínico Central;Calle Almirante Latorre 580;582253350;15101
30;Laboratorio Clínico San Martín;Calle Colón 330;582232204;15101
31;Laboratorio Clínico Dialab;Calle 18 de Septiembre 933;582258073;15101
32;Laboratorio Clínico del Norte - Labonorte;Calle Covadonga 286;582233466;15101
33;Laboratorio Clínico Chungará;Calle 18 de Septiembre 1315;582252172;15101
34;Laboratorio Clínico Biolascer;Calle 18 de Septiembre 1338;582251055;15101
35;Centro de Salud Familiar Víctor Bertín Soto;Calle Belén 1635;800500103;15101
36;Centro de Salud Familiar Dr. Amador Neghme de Arica;Calle Cancha Rayada 4149;800500101;15101
37;Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente);Avenida Las Torres 2699;800500102;15101
38;Centro de Salud Familiar Putre;Calle Baquedano 261;582200261;15201
39;Centro de Salud Familiar Remigio Sapunar;Calle Silva Arriagada 1020;582204306;15101
40;Centro de Salud Ambiental de Arica;Calle San Martín 253;582583690;15101
41;Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);Avenida Linderos Poniente 4752;-1;15101
42;Posta de Salud Rural San Miguel de Azapa;NULL;-1;15101
43;Posta de Salud Rural Poconchile;NULL;-1;15101
44;Posta de Salud Rural Belén (Putre);NULL;-1;15201
45;Posta de Salud Rural Visviri;NULL;-1;15202
46;Posta de Salud Rural Alcérreca;NULL;-1;15202
47;Posta de Salud Rural Codpa;NULL;-1;15102
48;Posta de Salud Rural Ticnamar;NULL;-1;15201
49;Posta de Salud Rural Sobraya;NULL;-1;15101
50;Centro de Salud Mental Comunitaria Norte;NULL;582204050;15101
51;ESSMA Sur de Arica;Calle San Martín 235;582204100;15101
52;Centro Comunitario de Salud Familiar Dr. Miguel Massa;Calle Francisco Urzúa 4241;-1;15101
53;Centro Comunitario de Salud Familiar Dr. René García Valenzuela;Calle Capitan Ávalos 1462;-1;15101
54;Centro Comunitario de Salud Familiar Cerro La Cruz;Calle Rafael Sotomayor 1496;582204370;15101
55;Policlínico Instituto de Seguridad del Trabajo;Calle 18 de Septiembre 1266;-1;15101
56;SAPU Marco Antonio Carvajal Moreno;Avenida Cancha Rayada 4149;582204846;15101
57;SAPU Iris Véliz Hume;Calle Barros Luco 2269;582203682;15101
58;Centro Médico Lifemed;Calle Covadonga 286;-1;15101
59;Policlínico Centro de Cumplimiento Penitenciario Iquique;NULL;572407900;1101
60;Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte;Calle Libertad 624;572751228;1401
61;SAPU Huara;NULL;572751590;1404
62;Centro de Diálisis Alto Hospicio;Calle Inglaterra, Sector La Pampa 3125;572324823;1107
63;Laboratorio Médico Bioclinic Ltda.;Calle Juan Antonio Ríos 2889;-1;1101
64;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);Calle Aníbal Pinto 815;-1;1101
65;PRAIS (S.S. Iquique);Calle Aníbal Pinto 815;-1;1101
66;Clínica Dental Móvil Simple. Pat. RW6740 (Iquique);Calle Thompson 1846;572406100;1101
67;Hospital Dr. Ernesto Torres Galdames (Iquique);Calle Héroes de la Concepción 502;572575861;1101
68;Clínica Iquique;Calle Bernardo O'Higgins 103;572393200;1101
69;Clínica Tarapacá;Calle Barros Arana 1550;572397000;1101
70;Centro Clínico Militar Iquique;Calle Diego Portales 1041;572518182;1101
71;Centro Médico y Dental Megasalud Iquique;Calle Ramírez 1162;572510540;1101
72;Centro de Salud Mutual CChC Iquique;Calle Orella 769;572422735;1101
73;Policlínico Naval de Iquique;Pasaje Isaza 1055;572517187;1101
74;Policlínico FACH de Iquique;Calle Diego Portales 1605;-1;1101
75;Policlínico Carabineros de Iquique;Calle Pedro Lagos 1105;572557040;1101
76;Clínica Coposa Cía. Minera Doña Inés de Collahuasi;NULL;572516621;1405
77;Clínica Establecimiento Penitenciario Alto Hospicio;NULL;572512602;1107
78;Centro de Atención Instituto de Seguridad del Trabajador Iquique;Calle Patricio Lynch 261;572425667;1101
79;Policlínico del Trabajador AChS Iquique;Calle Amunategui 1517;572402914;1101
80;Vacunatorio Sonrisa Infantil;Calle Aníbal Pinto 1011;572420708;1101
81;Centro Médico y Dental Megasalud Alto Hospicio;Calle Chaca 3058;572361245;1107
82;Vacunatorio Vacumed;Avenida Arturo Prat 1170;572514121;1101
83;Centro de Salud Universidad Arturo Prat;Avenida Arturo Prat 2120;572394745;1101
84;Laboratorio Clínico Bionet;Calle San Martín 385;572421789;1101
85;Laboratorio Clínico Automatizado Elmo;Calle Vivar 1229;572412599;1101
86;Laboratorio Clínico Automatizado Biogénesis;Calle Orella 769;572418759;1101
87;Clinicum Laboratorio Automatizado Ltda.;Calle Esmeralda 731;572496331;1101
88;Centro de Diálisis Medicen;Avenida Tadeo Haenke 1934;572322175;1101
89;Centro de Diálisis Iquique;Calle Orella 1677;572422242;1101
90;Centro de Diálisis Corporación Paúl Harris;Calle Armada de Chile 2110;572431880;1101
91;Laboratorio Clínico Iquilab;Calle Latorre con Obispo Labbé 800;572391242;1101
92;Laboratorio Clínico Playa Brava;Calle José Francisco Vergara 3327;572393544;1101
93;Laboratorio Clínico del Norte;Avenida Ramón Pérez Opazo 3154;572434899;1107
94;Laboratorio Clínico OASIS S.A.C.;Calle Riquelme 777;572423022;1101
95;Laboratorio Clínico Wallace Ltda.;Calle Latorre 973;572214743;1101
96;Centro de Diálisis la Tirana;Avenida La Tirana 3095;572447964;1101
97;Laboratorio Clínico Costanera;Calle Pedro Lagos 1090;572332877;1101
98;Laboratorio Clínico Arauco Ltda.;Calle Ramírez 1246;572415240;1101
